"Civic Tech Organization",Investor1,"Investor Type","Investment Type","Investment Date2","Investment Round - Total Funding3","Individual Investor Funding (if disclosed)","Investment Round"
"Mypp Media Limited",Overall,NA,"Private Investment",2012/02/29,26722,26722,"Mypp Media Limited Seed Investment"
"Mypp Media Limited","The National Digital Research Centre Limited, Investment Arm",Financial,"Private Investment",2012/02/29,26722,,"Mypp Media Limited Seed Investment"
"Mypp Media Limited","Enterprise Ireland",Other,"Private Investment",2012/12/31,65923,,"Mypp Media Limited Seed Investment"
"Mypp Media Limited",Overall,NA,"Private Investment",2012/12/31,65923,65923,"Mypp Media Limited Seed Investment"
"mySociety Limited","Omidyar Network Commons LLC",Financial,Grant,2012/06/27,2900000,,"mySociety Limited Awarded Omidyar Network Commons LLC Grant"
"mySociety Limited",Overall,NA,Grant,2012/06/27,2900000,2900000,"mySociety Limited Awarded Omidyar Network Commons LLC Grant"
"mySociety Limited","Google Inc.",Corporate,Grant,2013/01/16,1600000,,"mySociety Limited Awarded Google.Org Grant"
"mySociety Limited",Overall,NA,Grant,2013/01/16,1600000,1600000,"mySociety Limited Awarded Google.Org Grant"
"mySociety Limited","John S. and James L. Knight Foundation",Foundation,Grant,2013/04/12,199700,,"mySociety Limited Awarded John S. and James L. Knight Foundation Grant"
"mySociety Limited",Overall,NA,Grant,2013/04/12,199700,199700,"mySociety Limited Awarded John S. and James L. Knight Foundation Grant"
NationBuilder,"Chris Hughes",Person,"Private Investment",2011/11/22,500000,,"3dna Corp. Seed Investment"
NationBuilder,Overall,NA,"Private Investment",2011/11/22,500000,500000,"3dna Corp. Seed Investment"
NationBuilder,"Andreessen Horowitz Fund",Financial,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Dan Senor",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Dave Morin",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Dustin Moskovitz",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Greg Waldorf",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Justin Shaffer",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Kevin Colleran",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Mike Volpi",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Nihal Mehta",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,Overall,NA,"Private Investment",2012/03/06,6754161,6754161,"3dna Corp. Series A"
NationBuilder,"Pejman Nozad",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Sam Lessin",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Scott Marlette",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Sean Parker",Person,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"SV Angel",Financial,"Private Investment",2012/03/06,6754161,,"3dna Corp. Series A"
NationBuilder,"Andreessen Horowitz",Financial,"Private Investment",2013/06/06,8000000,,"3dna, Corp. Private Investment"
NationBuilder,"Omidyar Network Commons LLC",Financial,"Private Investment",2013/06/06,8000000,,"3dna, Corp. Private Investment"
NationBuilder,Overall,NA,"Private Investment",2013/06/06,8000000,8000000,"3dna, Corp. Private Investment"
"NearbyFYI Inc.",Overall,NA,Grant,2013/08/22,7500,7500,"NearbyFYI Inc. Awarded Sunlight Foundation Grant"
"NearbyFYI Inc.","Sunlight Foundation",Foundation,Grant,2013/08/22,7500,,"NearbyFYI Inc. Awarded Sunlight Foundation Grant"
"Neighbor.ly, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2013/04/01,175000,,"Neighbor.ly, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Neighbor.ly, Inc.",Overall,NA,Grant,2013/04/01,175000,175000,"Neighbor.ly, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Neighbor.ly, Inc.",Overall,NA,"Private Investment",2013/05/10,35000,35000,"Neighbor.ly, Inc. Private Investment"
"Neighbor.ly, Inc.","Points of Light",Foundation,"Private Investment",2013/05/10,35000,,"Neighbor.ly, Inc. Private Investment"
"Neighbor.ly, Inc.",Overall,NA,Grant,2013/09/06,50000,50000,"Neighbor.ly Awarded Points of Light Civic Accelerator, Jubilee Project Grant"
"Neighbor.ly, Inc.","Points of Light Civic Accelerator, Jubilee Project",Other,Grant,2013/09/06,50000,,"Neighbor.ly Awarded Points of Light Civic Accelerator, Jubilee Project Grant"
NeighborGoods,"John S. and James L. Knight Foundation",Foundation,"Private Investment",2012/04/01,350000,,"Sugar Packet, Inc. Private Investment"
NeighborGoods,Overall,NA,"Private Investment",2012/04/01,350000,350000,"Sugar Packet, Inc. Private Investment"
"Neighborland, Inc.",Overall,NA,Grant,2011/02/10,45000,45000,"Neighborland, Inc. Awarded Tulane University Grant"
"Neighborland, Inc.","The Rockefeller Foundation",Foundation,Grant,2011/02/10,45000,,"Neighborland, Inc. Awarded Tulane University Grant"
"Neighborland, Inc.","Tulane University",Other,Grant,2011/02/10,45000,,"Neighborland, Inc. Awarded Tulane University Grant"
"Neighborland, Inc.",CrunchFund,Financial,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.","Lerer Media Ventures L.P.",Financial,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.","Obvious Corp.",Corporate,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.",Overall,NA,"Private Investment",2012/04/16,1195005,1195005,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.","SV Angel",Financial,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.","True Ventures",Financial,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Neighborland, Inc.","Voodoo Ventures, LLC",Financial,"Private Investment",2012/04/16,1195005,,"Neighborland, Inc. Private Investment"
"Nextdoor.com, Inc.","Allen & Company",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Anthony Noto",Person,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Benchmark Capital Management Co., LLC",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","DAG Ventures Management, LLC",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Dave Goldberg",Person,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Greylock Management Corporation",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.",Overall,NA,"Private Investment",2012/07/24,18600000,18600000,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Pinnacle Ventures",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Rich Barton",Person,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Shasta Ventures",Financial,"Private Investment",2012/07/24,18600000,,"Nextdoor.com, Inc. Series A"
"Nextdoor.com, Inc.","Allen & Company",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Benchmark Capital Management Co., LLC",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Bezos Expeditions",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","DAG Ventures Management, LLC",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Google Inc.",Corporate,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Greylock Management Corporation",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.",Overall,NA,"Private Investment",2013/02/12,21600000,21600000,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Pinnacle Ventures",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Shasta Ventures",Financial,"Private Investment",2013/02/12,21600000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Benchmark Capital",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Bezos Expeditions, LLC",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Comcast Ventures",Corporate,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Google Ventures",Corporate,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Greylock Partners",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Kleiner Perkins Caufield & Byers",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.",Overall,NA,"Private Investment",2013/10/29,60000000,60000000,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Shasta Ventures",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"Nextdoor.com, Inc.","Tiger Global Management LLC",Financial,"Private Investment",2013/10/29,60000000,,"Nextdoor.com, Inc. Private Investment"
"NextDrop Smart Water System Pvt. Ltd.","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/23,375000,,"Smart Water System Pvt. Ltd. Awarded John S. and James L. Knight Foundation Grant"
"NextDrop Smart Water System Pvt. Ltd.",Overall,NA,Grant,2011/06/23,375000,375000,"Smart Water System Pvt. Ltd. Awarded John S. and James L. Knight Foundation Grant"
Ontodia,"New York City Economic Development Corporation",Other,Grant,2012/04/18,10000,,"Ontodia Awarded Grand Prize at New York City's BigApps 3.0 Contest"
Ontodia,"New York Department of Information Technology and Telecommunications",Other,Grant,2012/04/18,10000,,"Ontodia Awarded Grand Prize at New York City's BigApps 3.0 Contest"
Ontodia,Overall,NA,Grant,2012/04/18,10000,10000,"Ontodia Awarded Grand Prize at New York City's BigApps 3.0 Contest"
"Open Counter Enterprises Inc.","Knight News Challenge Fund",Foundation,Grant,2013/06/21,450000,,"Open Counter Enterprises Inc. Awarded Knight News Challenge Fund Grant"
"Open Counter Enterprises Inc.",Overall,NA,Grant,2013/06/21,450000,450000,"Open Counter Enterprises Inc. Awarded Knight News Challenge Fund Grant"
"Open Data Institute",Overall,NA,Grant,2011/12/02,15697000,15697000,"Open Data Institute Awarded Technology Strategy Board Grant"
"Open Data Institute","Technology Strategy Board",Financial,Grant,2011/12/02,15697000,,"Open Data Institute Awarded Technology Strategy Board Grant"
"Open Data Institute","Omidyar Network Commons LLC",Financial,"Private Investment",2012/12/03,750000,,"Open Data Institute Private Investment"
"Open Data Institute",Overall,NA,"Private Investment",2012/12/03,750000,750000,"Open Data Institute Private Investment"
"Open Data Institute","John S. and James L. Knight Foundation",Foundation,Grant,2013/10/29,250000,,"Open Data Institute Awarded John S. and James L. Knight Foundation Grant"
"Open Data Institute",Overall,NA,Grant,2013/10/29,250000,250000,"Open Data Institute Awarded John S. and James L. Knight Foundation Grant"
"Open Knowledge Foundation","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/22,250000,,"Open Knowledge Foundation Awarded John S. and James L. Knight Foundation Grant"
"Open Knowledge Foundation",Overall,NA,Grant,2011/06/22,250000,250000,"Open Knowledge Foundation Awarded John S. and James L. Knight Foundation Grant"
"Open Knowledge Foundation","Omidyar Network Commons LLC",Financial,Grant,2011/09/15,750000,,"Open Knowledge Foundation Awarded Omidyar Network Commons LLC Grant"
"Open Knowledge Foundation",Overall,NA,Grant,2011/09/15,750000,750000,"Open Knowledge Foundation Awarded Omidyar Network Commons LLC Grant"
"Open Knowledge Foundation",Overall,NA,Grant,2012/07/15,158500,158500,"Open Knowledge Foundation Awarded The William and Flora Hewlett Foundation Grant"
"Open Knowledge Foundation","The William and Flora Hewlett Foundation",Foundation,Grant,2012/07/15,158500,,"Open Knowledge Foundation Awarded The William and Flora Hewlett Foundation Grant"
"Open North","Google Inc.",Corporate,Grant,2012/01/01,10000,,"Open North Awarded Google.org Grant"
"Open North","Natural Resources Canada",Other,Grant,2012/01/01,87503,,"Open North Awarded Natural Resources Canada Grant"
"Open North",Overall,NA,Grant,2012/01/01,87503,87503,"Open North Awarded Natural Resources Canada Grant"
"Open North",Overall,NA,Grant,2012/01/01,10000,10000,"Open North Awarded Google.org Grant"
"Open North",Overall,NA,Grant,2012/01/01,10000,10000,"Open North Awarded SociÃ©tÃ© de dÃ©veloppement Ã©conomique Ville-Marie (CLD) Grant"
"Open North","SociÃ©tÃ© de dÃ©veloppement Ã©conomique Ville-Marie (CLD)",Financial,Grant,2012/01/01,10000,,"Open North Awarded SociÃ©tÃ© de dÃ©veloppement Ã©conomique Ville-Marie (CLD) Grant"
"OpenGov, Inc.","Formation8 Partners",Financial,"Private Investment",2012/07/01,3000000,,"OpenGov, Inc. Series A"
"OpenGov, Inc.","Founder Collective",Financial,"Private Investment",2012/07/01,3000000,,"OpenGov, Inc. Series A"
"OpenGov, Inc.","Goldcrest Investments",Financial,"Private Investment",2012/07/01,3000000,,"OpenGov, Inc. Series A"
"OpenGov, Inc.",Overall,NA,"Private Investment",2012/07/01,3000000,3000000,"OpenGov, Inc. Series A"
"OpenGov, Inc.","Signature Capital LLC",Financial,"Private Investment",2012/07/01,3000000,,"OpenGov, Inc. Series A"
"OpenGov, Inc.","Formation8 Partners",Financial,"Private Investment",2013/07/02,4000000,,"OpenGov, Inc. Series B"
"OpenGov, Inc.",Overall,NA,"Private Investment",2013/07/02,4000000,4000000,"OpenGov, Inc. Series B"
"OpenGov, Inc.","Thrive Capital",Financial,"Private Investment",2013/07/02,4000000,,"OpenGov, Inc. Series B"
"OpenPlans, Inc.",Overall,NA,Grant,2011/04/01,27000,27000,"OpenPlans, Inc. Awarded The Rockefeller Foundation Grant"
"OpenPlans, Inc.","The Rockefeller Foundation",Foundation,Grant,2011/04/01,27000,,"OpenPlans, Inc. Awarded The Rockefeller Foundation Grant"
"OpenPlans, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/23,275000,,"OpenPlans, Inc. Awarded John S. and James L. Knight Foundation Grant"
"OpenPlans, Inc.",Overall,NA,Grant,2011/06/23,275000,275000,"OpenPlans, Inc. Awarded John S. and James L. Knight Foundation Grant"
"OpenPlans, Inc.",Overall,NA,Grant,2013/09/01,50000,50000,"OpenPlans, Inc. Awarded The Rockefeller Foundation Grant"
"OpenPlans, Inc.","The Rockefeller Foundation",Foundation,Grant,2013/09/01,50000,,"OpenPlans, Inc. Awarded The Rockefeller Foundation Grant"
Outline,Overall,NA,"Private Investment",2013/02/25,20000,20000,"Outline Seed Investment"
Outline,"TechStars, LLC",Financial,"Private Investment",2013/02/25,20000,,"Outline Seed Investment"
Outline,"Knight News Challenge Fund",Foundation,Grant,2013/06/24,,,"Outline Seed Investment"
Outline,Overall,NA,Grant,2013/06/24,,,"Outline Seed Investment"
Outline,"First Round Capital",Financial,"Private Investment",2013/09/09,850000,,"Outline Seed Investment"
Outline,"Knight  Foundation, Investment Arm",Foundation,"Private Investment",2013/09/09,850000,,"Outline Seed Investment"
Outline,Overall,NA,"Private Investment",2013/09/09,850000,850000,"Outline Seed Investment"
Outline,"Civic Data Challenge",Foundation,Grant,2013/12/11,15000,,"Outline Seed Investment"
Outline,Overall,NA,Grant,2013/12/11,15000,15000,"Outline Seed Investment"
"ParkatmyHouse Ltd.","BMW i Ventures",Corporate,"Private Investment",2011/07/14,,,"ParkatmyHouse Ltd Private Investment"
"ParkatmyHouse Ltd.",Overall,NA,"Private Investment",2011/07/14,,,"ParkatmyHouse Ltd Private Investment"
"Peerby BV",Overall,NA,Grant,2012/08/24,128950,128950,"Peerby BV Awarded The Dutch Postcode Lottery Grant"
"Peerby BV","The Dutch Postcode Lottery",Foundation,Grant,2012/08/24,128950,,"Peerby BV Awarded The Dutch Postcode Lottery Grant"
"Peerby BV",Overall,NA,"Private Investment",2012/11/22,,,"Peerby BV Private Investment"
"Peerby BV","Sanoma Digital The Netherlands B.V.",Corporate,"Private Investment",2012/11/22,,,"Peerby BV Private Investment"
"Peerby BV",Overall,NA,"Private Investment",2013/07/02,20000,20000,"Peerby BV Private Investment"
"Peerby BV",TechStarsLondon,Financial,"Private Investment",2013/07/02,20000,,"Peerby BV Private Investment"
"Phone2Action, Inc.",Overall,NA,"Private Investment",2012/09/20,24000,24000,"Phone2Action, Inc. Private Investment"
"Phone2Action, Inc.","Think Big Partners",Financial,"Private Investment",2012/09/20,24000,,"Phone2Action, Inc. Private Investment"
"Phone2Action, Inc.",Overall,NA,Grant,2013/03/13,4000,4000,"Phone2Action, Inc. Awarded SXSW Inc. Grant"
"Phone2Action, Inc.","SXSW Inc.",Corporate,Grant,2013/03/13,4000,,"Phone2Action, Inc. Awarded SXSW Inc. Grant"
"Phone2Action, Inc.","Dundee Venture Capital",Financial,"Private Investment",2013/08/02,600000,,"Phone2Action, Inc. Private Investment"
"Phone2Action, Inc.",Overall,NA,"Private Investment",2013/08/02,600000,600000,"Phone2Action, Inc. Private Investment"
"Phone2Action, Inc.","Think Big Partners",Financial,"Private Investment",2013/08/02,600000,,"Phone2Action, Inc. Private Investment"
"PlaceSpeak Inc.",Overall,NA,Grant,2011/12/22,19484,19484,"PlaceSpeak Inc. Awarded Real Estate Foundation of British Columbia Grant"
"PlaceSpeak Inc.","Real Estate Foundation of British Columbia",Foundation,Grant,2011/12/22,19484,,"PlaceSpeak Inc. Awarded Real Estate Foundation of British Columbia Grant"
"Placr Ltd.",Overall,NA,"Private Investment",2013/02/12,391550,391550,"Placr Ltd. Private Investment"
Poderpedia,"John S. and James L. Knight Foundation",Foundation,Grant,2011/09/01,200000,,"FundaciÃ³n Poderomedia Awarded John S. and James L. Knight Foundation Grant"
Poderpedia,Overall,NA,Grant,2011/09/01,200000,200000,"FundaciÃ³n Poderomedia Awarded John S. and James L. Knight Foundation Grant"
PowerBase,Overall,NA,Grant,2012/01/01,400000,400000,"PowerBase Awarded Ford Foundation Grant"
PowerBase,"The Ford Foundation",Foundation,Grant,2012/01/01,400000,,"PowerBase Awarded The Ford Foundation Grant"
"PublicStuff, Inc.","First Round Capital",Financial,"Private Investment",2011/11/01,1527136,,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.","High Peaks Ventures",Financial,"Private Investment",2011/11/01,1527136,,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.","Lerer Media Ventures L.P.",Financial,"Private Investment",2011/11/01,1527136,,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.",Overall,NA,"Private Investment",2011/11/01,1527136,1527136,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.","FirstMark Capital, LLC",Financial,"Private Investment",2012/09/25,5000003,,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.","John S. and James L. Knight Foundation",Foundation,"Private Investment",2012/09/25,5000003,,"PublicStuff, Inc. Private Investment"
"PublicStuff, Inc.",Overall,NA,"Private Investment",2012/09/25,5000003,5000003,"PublicStuff, Inc. Private Investment"
"Rallyt, Inc.",Overall,NA,"Private Investment",2012/09/28,,,"Rallyt, Inc. Private Investment"
"Rallyt, Inc.",Overall,NA,"Private Investment",2013/02/25,,,"Rallyt, Inc. Private Investment"
"Rallyt, Inc.","TechStars, LLC",Financial,"Private Investment",2013/02/25,,,"Rallyt, Inc. Private Investment"
Recovers.org,"John S. and James L. Knight Foundation",Foundation,Grant,2012/06/18,340000,,"Sirocco Corp. Awarded John S. and James L. Knight Foundation Grant"
Recovers.org,Overall,NA,Grant,2012/06/18,340000,340000,"Sirocco Corp. Awarded John S. and James L. Knight Foundation Grant"
Recovers.org,"Code for America Labs, Inc.",Foundation,Grant,2012/08/03,25000,,"Sirocco Corp. Awarded Code for America Labs, Inc. Grant"
Recovers.org,Overall,NA,Grant,2012/08/03,25000,25000,"Sirocco Corp. Awarded Code for America Labs, Inc. Grant"
"Red Blue Voice LLC",Overall,NA,"Private Investment",2011/01/24,50000,50000,"Red Blue Voice LLC Early Round"
"RelayRides, Inc.","August Capital",Financial,"Private Investment",2011/08/17,16000000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.","General Motors Ventures, LLC",Corporate,"Private Investment",2011/08/17,16000000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.","Google Inc.",Corporate,"Private Investment",2011/08/17,16000000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.",Overall,NA,"Private Investment",2011/08/17,16000000,16000000,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.","Shasta Ventures",Financial,"Private Investment",2011/08/17,16000000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.","August Capital",Financial,"Private Investment",2013/01/11,5910000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.","Google Inc.",Corporate,"Private Investment",2013/01/11,5910000,,"RelayRides, Inc. Private Investment"
"RelayRides, Inc.",Overall,NA,"Private Investment",2013/01/11,5910000,5910000,"RelayRides, Inc. Private Investment"
"Reloveit, Inc.",Overall,NA,"Private Investment",2011/05/23,11000,11000,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Y Combinator, LLC",Financial,"Private Investment",2011/05/23,11000,11000,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Benjamin Ling",Person,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Founder Collective",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Freestyle Capital",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Joshua Schachter",Person,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Lerer Media Ventures L.P.",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.",Overall,NA,"Private Investment",2012/02/06,1300000,1300000,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Owen Van Natta",Person,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Start Fund LLC",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","SV Angel",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Reloveit, Inc.","Y Combinator, LLC",Financial,"Private Investment",2012/02/06,1300000,,"Reloveit, Inc. Seed Investment"
"Rent My Items Limited",Overall,NA,"Private Investment",2011/09/30,,,"Rent My Items Limited Private Investment"
"Rent My Items Limited","Angel Investment Network Ltd.",Financial,"Private Investment",2012/01/04,,,"Rent My Items Limited Private Investment"
"Rent My Items Limited","Crowdcube Limited",Financial,"Private Investment",2012/01/04,,,"Rent My Items Limited Private Investment"
"Rent My Items Limited",Overall,NA,"Private Investment",2012/01/04,,,"Rent My Items Limited Private Investment"
RentWant.com,AngelCube,Financial,"Private Investment",2011/09/13,20212,20212,"RentWant.com Seed Investment"
RentWant.com,Overall,NA,"Private Investment",2011/09/13,20212,20212,"RentWant.com Seed Investment"
"Revelstone LLC","Code for America Labs, Inc.",Foundation,Grant,2012/08/03,25000,,"Revelstone LLC Seed Investment"
"Revelstone LLC",Overall,NA,Grant,2012/08/03,25000,25000,"Revelstone LLC Seed Investment"
Safecast,"John S. and James L. Knight Foundation",Foundation,Grant,2011/09/01,250000,,"Momoko Ito Foundation Awarded John S. and James L. Knight Foundation Grant"
Safecast,Overall,NA,Grant,2011/09/01,250000,250000,"Momoko Ito Foundation Awarded John S. and James L. Knight Foundation Grant"
Safecast,"John S. and James L. Knight Foundation",Foundation,Grant,2012/12/01,399600,,"Momoko Ito Foundation Awarded John S. and James L. Knight Foundation Grant"
Safecast,Overall,NA,Grant,2012/12/01,399600,399600,"Momoko Ito Foundation Awarded John S. and James L. Knight Foundation Grant"
"Scandipity, Inc.","Doug Taylor",Person,"Private Investment",2012/02/10,80000,,"Scandipity, Inc. Seed Investment"
"Scandipity, Inc.",Overall,NA,"Private Investment",2012/02/10,80000,80000,"Scandipity, Inc. Seed Investment"
"Scandipity, Inc.","Peter Kirwan",Person,"Private Investment",2012/02/10,80000,,"Scandipity, Inc. Seed Investment"
"Scandipity, Inc.","Tim Drees",Person,"Private Investment",2012/02/10,80000,,"Scandipity, Inc. Seed Investment"
"ScraperWiki Ltd","John S. and James L. Knight Foundation",Foundation,Grant,2011/08/01,280000,,"ScraperWiki Ltd Awarded John S. and James L. Knight Foundation Grant"
"ScraperWiki Ltd",Overall,NA,Grant,2011/08/01,280000,280000,"ScraperWiki Ltd Awarded John S. and James L. Knight Foundation Grant"
"ScraperWiki Ltd","North West Fund for Venture Capital",Financial,"Private Investment",2012/02/02,1000000,,"ScraperWiki Ltd Early Round"
"ScraperWiki Ltd",Overall,NA,"Private Investment",2012/02/02,1000000,1000000,"ScraperWiki Ltd Early Round"
"SeeClickFix, Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2011/01/11,,,"SeeClickFix, Inc. Private Investment"
"SeeClickFix, Inc.","O'Reilly AlphaTech Ventures",Corporate,"Private Investment",2011/01/11,1500000,,"SeeClickFix, Inc. Private Investment"
"SeeClickFix, Inc.",Overall,NA,"Private Investment",2011/01/11,1500000,1500000,"SeeClickFix, Inc. Private Investment"
"Side.Cr, LLC.","First Step Fund",Financial,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Huron River Ventures",Financial,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Jared Kopf",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Jeff Clarke",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Josh Silverman",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Konstantin Othmer",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Lerer Media Ventures L.P.",Financial,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Lisa Gansky",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Mark Pincus",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Martin Roscheisen",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.",Overall,NA,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Robert Goldberg",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Spring Ventures",Financial,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
